Year,Intl_Name,PH_Name,Province,Deaths,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),Category
2012,Bopha,Pablo,Zamboanga Sibugay,1,756,0,0,0,0,0,Very strong typhoon
2012,Bopha,Pablo,Bukidnon,6,230947,1039,4968,6007,249304500,799150052,Very strong typhoon
2012,Bopha,Pablo,Camiguin,0,1552,21,166,187,10031000,72155939.05,Very strong typhoon
2012,Bopha,Pablo,Lanao del Norte,0,145863,168,1788,1956,11300000,129455258,Very strong typhoon
2012,Bopha,Pablo,Misamis Occidental,2,21757,92,127,219,2900000,18450735,Very strong typhoon
2012,Bopha,Pablo,Misamis Oriental,7,123075,455,4078,4533,40446000,816665308,Very strong typhoon
2012,Bopha,Pablo,Davao de Oro,612,655373,38653,56401,95054,2420283500,14634898910,Very strong typhoon
2012,Bopha,Pablo,Davao del Norte,0,848798,227,2862,3089,1120694510,7820338240,Very strong typhoon
2012,Bopha,Pablo,Davao del Sur,0,2812181,101,288,389,0,0,Very strong typhoon
2012,Bopha,Pablo,Davao Oriental,395,530098,21975,8270,30245,2802994800,4650386640,Very strong typhoon
2012,Bopha,Pablo,Cotabato,0,40955,0,0,0,10500000,22581342,Very strong typhoon
2012,Bopha,Pablo,South Cotabato,8,3143,3,10,13,0,0,Very strong typhoon
2012,Bopha,Pablo,Sultan Kudarat,0,18720,0,0,0,16260000,0,Very strong typhoon
2012,Bopha,Pablo,Agusan del Norte,0,7022,54,493,547,78976000,21197120,Very strong typhoon
2012,Bopha,Pablo,Agusan del Sur,13,239063,18354,19290,37644,154959800,149996493,Very strong typhoon
2012,Bopha,Pablo,Dinagat Islands,0,2814,1,5,6,0,0,Very strong typhoon
2012,Bopha,Pablo,Surigao del Norte,1,42695,18,943,961,19275000,4736700,Very strong typhoon
2012,Bopha,Pablo,Surigao del Sur,5,154900,6156,17776,23932,135732700,15212480,Very strong typhoon
2012,Bopha,Pablo,Lanao del Sur,0,146285,256,368,624,0,2000000,Very strong typhoon
2012,Bopha,Pablo,Maguindanao,0,104337,0,0,0,0,2500000,Very strong typhoon
2012,Bopha,Pablo,Capiz,1,0,0,0,0,0,0,Very strong typhoon
